Period,Continent,TotalPopulation
2010-03-01,NHS ENGLAND NORTH WEST ,8505
2010-03-01,NHS ENGLAND SOUTH WEST ,19955
2010-03-01,NHS ENGLAND SOUTH EAST ,6559
2010-03-01,NHS ENGLAND SOUTH EAST ,7138
2010-03-01,NHS ENGLAND MIDLANDS ,29127
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8185
2010-03-01,NHS ENGLAND MIDLANDS ,12360
2010-03-01,NHS ENGLAND MIDLANDS ,4435
2010-03-01,NHS ENGLAND SOUTH EAST ,15090
2010-03-01,NHS ENGLAND SOUTH WEST ,8008
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14704
2010-03-01,NHS ENGLAND LONDON,13520
2010-03-01,NHS ENGLAND SOUTH EAST ,25549
2010-03-01,NHS ENGLAND SOUTH EAST ,0
2010-03-01,NHS ENGLAND MIDLANDS ,8767
2010-03-01,NHS ENGLAND LONDON,32000
2010-03-01,NHS ENGLAND EAST OF ENGLAND ,16685
2010-03-01,NHS ENGLAND LONDON,18355
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8967
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,31688
2010-03-01,NHS ENGLAND NORTH WEST ,9495
2010-03-01,NHS ENGLAND MIDLANDS ,40740
2010-03-01,NHS ENGLAND LONDON,15905
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16376
2010-03-01,NHS ENGLAND SOUTH WEST ,11073
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,23691
2010-03-01,NHS ENGLAND MIDLANDS ,23549
2010-03-01,NHS ENGLAND SOUTH EAST ,8369
2010-03-01,NHS ENGLAND SOUTH EAST ,24577
2010-03-01,NHS ENGLAND SOUTH EAST ,13577
2010-03-01,NHS ENGLAND SOUTH WEST ,4224
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8769
2010-03-01,NHS ENGLAND NORTH WEST ,14071
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2751
2010-03-01,NHS ENGLAND SOUTH WEST ,5823
2010-03-01,NHS ENGLAND LONDON,13067
2010-03-01,NHS ENGLAND SOUTH EAST ,14300
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14886
2010-03-01,NHS ENGLAND NORTH WEST ,21824
2010-03-01,NHS ENGLAND SOUTH EAST ,1991
2010-03-01,NHS ENGLAND NORTH WEST ,14959
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,21138
2010-03-01,NHS ENGLAND MIDLANDS ,13824
2010-03-01,NHS ENGLAND MIDLANDS ,35101
2010-03-01,NHS ENGLAND SOUTH EAST ,17057
2010-03-01,NHS ENGLAND EAST OF ENGLAND ,18281
2010-03-01,NHS ENGLAND EAST OF ENGLAND ,11030
2010-03-01,NHS ENGLAND NORTH WEST ,8191
2010-03-01,NHS ENGLAND MIDLANDS ,12929
2010-03-01,NHS ENGLAND NORTH WEST ,21570
2010-03-01,NHS ENGLAND SOUTH EAST ,780
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18905
2010-03-01,NHS ENGLAND MIDLANDS ,21987
2010-03-01,NHS ENGLAND SOUTH EAST ,11361
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,29597
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8751
2010-03-01,NHS ENGLAND MIDLANDS ,20566
2010-03-01,NHS ENGLAND NORTH WEST ,25326
2010-03-01,NHS ENGLAND NORTH WEST ,22321
2010-03-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16924
2010-03-01,NHS ENGLAND SOUTH EAST ,17989
2010-03-01,NHS ENGLAND NORTH WEST ,16416
2010-03-01,NHS ENGLAND MIDLANDS ,7198
2010-03-01,NHS ENGLAND NORTH WEST ,7803
2010-03-01,NHS ENGLAND EAST OF ENGLAND ,11684
2010-03-01,NHS ENGLAND MIDLANDS ,17711
2010-03-01,NHS ENGLAND NORTH WEST ,2475
2010-03-01,NHS ENGLAND MIDLANDS ,2321
2010-03-01,NHS ENGLAND LONDON,4537
2010-03-01,NHS ENGLAND SOUTH WEST ,0
2010-03-01,NHS ENGLAND MIDLANDS ,0
2010-03-01,NHS ENGLAND LONDON,19049
2010-03-01,NHS ENGLAND SOUTH EAST ,31021
2010-03-01,NHS ENGLAND LONDON,21346
2010-03-01,NHS ENGLAND SOUTH EAST ,25036
2010-03-01,NHS ENGLAND SOUTH EAST ,3492
2010-03-01,NHS ENGLAND LONDON,9258
2010-03-01,NHS ENGLAND EAST OF ENGLAND ,8108
2010-03-01,NHS ENGLAND NORTH WEST ,0
2010-03-01,NHS ENGLAND MIDLANDS ,7981
2010-03-01,NHS ENGLAND SOUTH EAST ,8024
2010-03-01,NHS ENGLAND MIDLANDS ,2846
2010-03-01,NHS ENGLAND SOUTH EAST ,2970
2010-03-01,NHS ENGLAND LONDON,9775
2010-03-01,NHS ENGLAND MIDLANDS ,16389
2010-03-01,NHS ENGLAND SOUTH EAST ,3967
2010-04-01,NHS ENGLAND MIDLANDS ,6165
2010-04-01,NHS ENGLAND SOUTH WEST ,297
2010-04-01,NHS ENGLAND NORTH WEST ,8462
2010-04-01,NHS ENGLAND SOUTH EAST ,4938
2010-04-01,NHS ENGLAND LONDON,11144
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2331
2010-04-01,NHS ENGLAND SOUTH EAST ,566
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3676
2010-04-01,NHS ENGLAND SOUTH WEST ,0
2010-04-01,NHS ENGLAND MIDLANDS ,0
2010-04-01,NHS ENGLAND MIDLANDS ,0
2010-04-01,NHS ENGLAND MIDLANDS ,17097
2010-04-01,NHS ENGLAND MIDLANDS ,5854
2010-04-01,NHS ENGLAND SOUTH WEST ,3882
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,4009
2010-04-01,NHS ENGLAND SOUTH EAST ,378
2010-04-01,NHS ENGLAND SOUTH WEST ,9109
2010-04-01,NHS ENGLAND SOUTH EAST ,0
2010-04-01,NHS ENGLAND SOUTH EAST ,8969
2010-04-01,NHS ENGLAND MIDLANDS ,15709
2010-04-01,NHS ENGLAND MIDLANDS ,5475
2010-04-01,NHS ENGLAND SOUTH WEST ,3608
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3164
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3411
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11263
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1858
2010-04-01,NHS ENGLAND MIDLANDS ,4892
2010-04-01,NHS ENGLAND MIDLANDS ,2653
2010-04-01,NHS ENGLAND MIDLANDS ,7925
2010-04-01,NHS ENGLAND MIDLANDS ,8918
2010-04-01,NHS ENGLAND MIDLANDS ,4763
2010-04-01,NHS ENGLAND MIDLANDS ,14232
2010-04-01,NHS ENGLAND MIDLANDS ,13964
2010-04-01,NHS ENGLAND SOUTH EAST ,0
2010-04-01,NHS ENGLAND SOUTH EAST ,5172
2010-04-01,NHS ENGLAND NORTH WEST ,4814
2010-04-01,NHS ENGLAND SOUTH WEST ,5081
2010-04-01,NHS ENGLAND MIDLANDS ,7415
2010-04-01,NHS ENGLAND MIDLANDS ,4604
2010-04-01,NHS ENGLAND SOUTH EAST ,6067
2010-04-01,NHS ENGLAND SOUTH EAST ,14428
2010-04-01,NHS ENGLAND SOUTH EAST ,9597
2010-04-01,NHS ENGLAND SOUTH EAST ,5154
2010-04-01,NHS ENGLAND NORTH WEST ,1245
2010-04-01,NHS ENGLAND NORTH WEST ,46771
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12342
2010-04-01,NHS ENGLAND SOUTH WEST ,12263
2010-04-01,NHS ENGLAND MIDLANDS ,5758
2010-04-01,NHS ENGLAND SOUTH EAST ,9767
2010-04-01,NHS ENGLAND LONDON,35642
2010-04-01,NHS ENGLAND LONDON,28984
2010-04-01,NHS ENGLAND SOUTH EAST ,20179
2010-04-01,NHS ENGLAND SOUTH WEST ,5556
2010-04-01,NHS ENGLAND SOUTH WEST ,16680
2010-04-01,NHS ENGLAND SOUTH WEST ,14385
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17583
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,38616
2010-04-01,NHS ENGLAND LONDON,41330
2010-04-01,NHS ENGLAND LONDON,708
2010-04-01,NHS ENGLAND LONDON,22766
2010-04-01,NHS ENGLAND LONDON,5003
2010-04-01,NHS ENGLAND LONDON,9426
2010-04-01,NHS ENGLAND LONDON,11136
2010-04-01,NHS ENGLAND SOUTH WEST ,9177
2010-04-01,NHS ENGLAND MIDLANDS ,10960
2010-04-01,NHS ENGLAND NORTH WEST ,13182
2010-04-01,NHS ENGLAND NORTH WEST ,14049
2010-04-01,NHS ENGLAND NORTH WEST ,9925
2010-04-01,NHS ENGLAND NORTH WEST ,7315
2010-04-01,NHS ENGLAND NORTH WEST ,8495
2010-04-01,NHS ENGLAND NORTH WEST ,0
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,30022
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,34140
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11446
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3294
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10863
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,13657
2010-04-01,NHS ENGLAND SOUTH WEST ,8578
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,20592
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,27029
2010-04-01,NHS ENGLAND SOUTH EAST ,12430
2010-04-01,NHS ENGLAND SOUTH EAST ,18681
2010-04-01,NHS ENGLAND SOUTH WEST ,4869
2010-04-01,NHS ENGLAND SOUTH WEST ,8574
2010-04-01,NHS ENGLAND NORTH WEST ,31619
2010-04-01,NHS ENGLAND NORTH WEST ,4677
2010-04-01,NHS ENGLAND NORTH WEST ,0
2010-04-01,NHS ENGLAND LONDON,24716
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14755
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6661
2010-04-01,NHS ENGLAND MIDLANDS ,5096
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,22178
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,8944
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,13074
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,12365
2010-04-01,NHS ENGLAND SOUTH WEST ,20113
2010-04-01,NHS ENGLAND SOUTH WEST ,19539
2010-04-01,NHS ENGLAND SOUTH EAST ,17549
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18396
2010-04-01,NHS ENGLAND SOUTH EAST ,21974
2010-04-01,NHS ENGLAND SOUTH EAST ,25335
2010-04-01,NHS ENGLAND LONDON,21715
2010-04-01,NHS ENGLAND LONDON,13219
2010-04-01,NHS ENGLAND LONDON,17291
2010-04-01,NHS ENGLAND LONDON,17014
2010-04-01,NHS ENGLAND SOUTH WEST ,2011
2010-04-01,NHS ENGLAND MIDLANDS ,7557
2010-04-01,NHS ENGLAND MIDLANDS ,1453
2010-04-01,NHS ENGLAND MIDLANDS ,14379
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18920
2010-04-01,NHS ENGLAND NORTH WEST ,4857
2010-04-01,NHS ENGLAND NORTH WEST ,8957
2010-04-01,NHS ENGLAND LONDON,17819
2010-04-01,NHS ENGLAND MIDLANDS ,9762
2010-04-01,NHS ENGLAND SOUTH WEST ,5688
2010-04-01,NHS ENGLAND MIDLANDS ,28631
2010-04-01,NHS ENGLAND LONDON,2967
2010-04-01,NHS ENGLAND MIDLANDS ,10556
2010-04-01,NHS ENGLAND MIDLANDS ,19167
2010-04-01,NHS ENGLAND MIDLANDS ,5521
2010-04-01,NHS ENGLAND MIDLANDS ,0
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,24811
2010-04-01,NHS ENGLAND NORTH WEST ,33225
2010-04-01,NHS ENGLAND NORTH WEST ,9445
2010-04-01,NHS ENGLAND NORTH WEST ,15435
2010-04-01,NHS ENGLAND SOUTH WEST ,11742
2010-04-01,NHS ENGLAND SOUTH EAST ,12366
2010-04-01,NHS ENGLAND SOUTH EAST ,17462
2010-04-01,NHS ENGLAND MIDLANDS ,21521
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4753
2010-04-01,NHS ENGLAND MIDLANDS ,4238
2010-04-01,NHS ENGLAND MIDLANDS ,15695
2010-04-01,NHS ENGLAND SOUTH EAST ,5518
2010-04-01,NHS ENGLAND SOUTH WEST ,3784
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13746
2010-04-01,NHS ENGLAND LONDON,13997
2010-04-01,NHS ENGLAND SOUTH EAST ,7871
2010-04-01,NHS ENGLAND SOUTH EAST ,7059
2010-04-01,NHS ENGLAND MIDLANDS ,5955
2010-04-01,NHS ENGLAND LONDON,31369
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,17515
2010-04-01,NHS ENGLAND LONDON,18515
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9515
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,29746
2010-04-01,NHS ENGLAND NORTH WEST ,25432
2010-04-01,NHS ENGLAND MIDLANDS ,30814
2010-04-01,NHS ENGLAND LONDON,11087
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8584
2010-04-01,NHS ENGLAND SOUTH WEST ,28841
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,28993
2010-04-01,NHS ENGLAND MIDLANDS ,31389
2010-04-01,NHS ENGLAND SOUTH EAST ,7689
2010-04-01,NHS ENGLAND SOUTH EAST ,13385
2010-04-01,NHS ENGLAND SOUTH EAST ,15135
2010-04-01,NHS ENGLAND SOUTH WEST ,2011
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,23950
2010-04-01,NHS ENGLAND NORTH WEST ,14629
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2594
2010-04-01,NHS ENGLAND SOUTH WEST ,11072
2010-04-01,NHS ENGLAND LONDON,20248
2010-04-01,NHS ENGLAND SOUTH EAST ,26451
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12567
2010-04-01,NHS ENGLAND NORTH WEST ,12624
2010-04-01,NHS ENGLAND SOUTH EAST ,1993
2010-04-01,NHS ENGLAND NORTH WEST ,16307
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6519
2010-04-01,NHS ENGLAND MIDLANDS ,24834
2010-04-01,NHS ENGLAND MIDLANDS ,22437
2010-04-01,NHS ENGLAND SOUTH EAST ,31001
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,12338
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,18935
2010-04-01,NHS ENGLAND NORTH WEST ,14145
2010-04-01,NHS ENGLAND MIDLANDS ,19702
2010-04-01,NHS ENGLAND NORTH WEST ,9977
2010-04-01,NHS ENGLAND SOUTH EAST ,5558
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,22300
2010-04-01,NHS ENGLAND MIDLANDS ,17876
2010-04-01,NHS ENGLAND SOUTH EAST ,14506
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13778
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3617
2010-04-01,NHS ENGLAND MIDLANDS ,14451
2010-04-01,NHS ENGLAND NORTH WEST ,10537
2010-04-01,NHS ENGLAND NORTH WEST ,18927
2010-04-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,19163
2010-04-01,NHS ENGLAND SOUTH EAST ,18721
2010-04-01,NHS ENGLAND NORTH WEST ,16920
2010-04-01,NHS ENGLAND MIDLANDS ,21342
2010-04-01,NHS ENGLAND NORTH WEST ,699
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,2753
2010-04-01,NHS ENGLAND MIDLANDS ,3385
2010-04-01,NHS ENGLAND NORTH WEST ,12343
2010-04-01,NHS ENGLAND MIDLANDS ,16664
2010-04-01,NHS ENGLAND LONDON,11211
2010-04-01,NHS ENGLAND SOUTH WEST ,0
2010-04-01,NHS ENGLAND MIDLANDS ,3779
2010-04-01,NHS ENGLAND LONDON,23430
2010-04-01,NHS ENGLAND SOUTH EAST ,23975
2010-04-01,NHS ENGLAND LONDON,18771
2010-04-01,NHS ENGLAND SOUTH EAST ,9556
2010-04-01,NHS ENGLAND SOUTH EAST ,1852
2010-04-01,NHS ENGLAND LONDON,14564
2010-04-01,NHS ENGLAND EAST OF ENGLAND ,2729
2010-04-01,NHS ENGLAND NORTH WEST ,0
2010-04-01,NHS ENGLAND MIDLANDS ,21046
2010-04-01,NHS ENGLAND SOUTH EAST ,2111
2010-04-01,NHS ENGLAND MIDLANDS ,9576
2010-04-01,NHS ENGLAND SOUTH EAST ,2802
2010-04-01,NHS ENGLAND LONDON,9578
2010-04-01,NHS ENGLAND MIDLANDS ,149
2010-04-01,NHS ENGLAND SOUTH EAST ,12511
2010-05-01,NHS ENGLAND MIDLANDS ,1526
2010-05-01,NHS ENGLAND SOUTH WEST ,6856
2010-05-01,NHS ENGLAND NORTH WEST ,0
2010-05-01,NHS ENGLAND SOUTH EAST ,1685
2010-05-01,NHS ENGLAND LONDON,13348
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6377
2010-05-01,NHS ENGLAND SOUTH EAST ,1076
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5947
2010-05-01,NHS ENGLAND SOUTH WEST ,1796
2010-05-01,NHS ENGLAND MIDLANDS ,0
2010-05-01,NHS ENGLAND MIDLANDS ,3654
2010-05-01,NHS ENGLAND MIDLANDS ,0
2010-05-01,NHS ENGLAND MIDLANDS ,4676
2010-05-01,NHS ENGLAND SOUTH WEST ,5328
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,1430
2010-05-01,NHS ENGLAND SOUTH EAST ,7357
2010-05-01,NHS ENGLAND SOUTH WEST ,4358
2010-05-01,NHS ENGLAND SOUTH EAST ,6230
2010-05-01,NHS ENGLAND SOUTH EAST ,5789
2010-05-01,NHS ENGLAND MIDLANDS ,10684
2010-05-01,NHS ENGLAND MIDLANDS ,13334
2010-05-01,NHS ENGLAND SOUTH WEST ,13528
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2090
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3052
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10684
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1041
2010-05-01,NHS ENGLAND MIDLANDS ,3645
2010-05-01,NHS ENGLAND MIDLANDS ,9477
2010-05-01,NHS ENGLAND MIDLANDS ,4772
2010-05-01,NHS ENGLAND MIDLANDS ,13501
2010-05-01,NHS ENGLAND MIDLANDS ,3607
2010-05-01,NHS ENGLAND MIDLANDS ,5418
2010-05-01,NHS ENGLAND MIDLANDS ,5540
2010-05-01,NHS ENGLAND SOUTH EAST ,525
2010-05-01,NHS ENGLAND SOUTH EAST ,5202
2010-05-01,NHS ENGLAND NORTH WEST ,7364
2010-05-01,NHS ENGLAND SOUTH WEST ,3840
2010-05-01,NHS ENGLAND MIDLANDS ,14011
2010-05-01,NHS ENGLAND MIDLANDS ,8967
2010-05-01,NHS ENGLAND SOUTH EAST ,0
2010-05-01,NHS ENGLAND SOUTH EAST ,12306
2010-05-01,NHS ENGLAND SOUTH EAST ,18694
2010-05-01,NHS ENGLAND SOUTH EAST ,5398
2010-05-01,NHS ENGLAND NORTH WEST ,1259
2010-05-01,NHS ENGLAND NORTH WEST ,44103
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15386
2010-05-01,NHS ENGLAND SOUTH WEST ,16404
2010-05-01,NHS ENGLAND MIDLANDS ,4949
2010-05-01,NHS ENGLAND SOUTH EAST ,10005
2010-05-01,NHS ENGLAND LONDON,46250
2010-05-01,NHS ENGLAND LONDON,41716
2010-05-01,NHS ENGLAND SOUTH EAST ,2687
2010-05-01,NHS ENGLAND SOUTH WEST ,5626
2010-05-01,NHS ENGLAND SOUTH WEST ,15577
2010-05-01,NHS ENGLAND SOUTH WEST ,21976
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17381
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,43342
2010-05-01,NHS ENGLAND LONDON,31028
2010-05-01,NHS ENGLAND LONDON,9686
2010-05-01,NHS ENGLAND LONDON,17977
2010-05-01,NHS ENGLAND LONDON,16649
2010-05-01,NHS ENGLAND LONDON,17313
2010-05-01,NHS ENGLAND LONDON,19236
2010-05-01,NHS ENGLAND SOUTH WEST ,5932
2010-05-01,NHS ENGLAND MIDLANDS ,14279
2010-05-01,NHS ENGLAND NORTH WEST ,6293
2010-05-01,NHS ENGLAND NORTH WEST ,9565
2010-05-01,NHS ENGLAND NORTH WEST ,9540
2010-05-01,NHS ENGLAND NORTH WEST ,10057
2010-05-01,NHS ENGLAND NORTH WEST ,13082
2010-05-01,NHS ENGLAND NORTH WEST ,1853
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,23534
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,26052
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7170
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8451
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3228
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,9654
2010-05-01,NHS ENGLAND SOUTH WEST ,6902
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,17381
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,33109
2010-05-01,NHS ENGLAND SOUTH EAST ,12486
2010-05-01,NHS ENGLAND SOUTH EAST ,16415
2010-05-01,NHS ENGLAND SOUTH WEST ,1434
2010-05-01,NHS ENGLAND SOUTH WEST ,14811
2010-05-01,NHS ENGLAND NORTH WEST ,17802
2010-05-01,NHS ENGLAND NORTH WEST ,9702
2010-05-01,NHS ENGLAND NORTH WEST ,1702
2010-05-01,NHS ENGLAND LONDON,19481
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14310
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6990
2010-05-01,NHS ENGLAND MIDLANDS ,18103
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,14489
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,16579
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,8065
2010-05-01,NHS ENGLAND EAST OF ENGLAND ,11470
2010-05-01,NHS ENGLAND SOUTH WEST ,12817
2010-05-01,NHS ENGLAND SOUTH WEST ,25673
2010-05-01,NHS ENGLAND SOUTH EAST ,14886
2010-05-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15535
2010-05-01,NHS ENGLAND SOUTH EAST ,15590
2010-05-01,NHS ENGLAND SOUTH EAST ,26519
